Date;Credit_Portfolio_Total_BRL_mn;Credit_Portfolio_Corporate_BRL_mn;Credit_Portfolio_Retail_BRL_mn;Delinquency_15-90d_Total_%;Delinquency_15-90d_Corporate_%;Delinquency_15-90d_Retail_%;Interest_Rate_NonEarmarked_Corporate_%am;Interest_Rate_NonEarmarked_Retail_%am;Default_Rate_Personal_NonPayroll_%;Default_Rate_Personal_Payroll_Private_%;Default_Rate_Revolving_Credit_Card_%;Default_Rate__Corporate_SMBs_%;Default_Rate_Corporate_Large_%;Unemployment_Rate_PNADC_%;Inflation_IPC-Br_%;Net_Debt_FedGov_CenBank_%GDP;Net_Debt_Consolidated_%GDP;Primary_Result_YTD_ex-FX_BRL_mn
01/02/2022;4723686;1967754;2755932;3.34;1.17;4.9;1.63;3.28;5.27;4.67;38.19;2.44;0.37;11.2;0.28;45.79;55.45;-105304.02
01/03/2022;4790359;1990048;2800311;3.62;1.39;5.21;1.63;3.36;5.71;4.71;41.25;2.49;0.31;11.1;1.35;47.32;56.66;-109616.27
01/04/2022;4828886;1998547;2830339;3.63;1.37;5.23;1.69;3.38;5.87;4.71;42.91;2.6;0.27;10.5;1.08;47.12;56.4;-148492.72
01/05/2022;4883798;2008336;2875462;3.73;1.51;5.28;1.66;3.41;6.3;4.84;45.03;2.66;0.26;9.8;0.5;47.84;56.91;-115500.14
01/06/2022;4961785;2047451;2914335;3.66;1.39;5.26;1.71;3.47;6.55;4.52;44.24;2.59;0.14;9.3;0.67;46.77;56.03;-129894.76
01/07/2022;4997242;2041622;2955620;3.82;1.58;5.36;1.76;3.58;6.88;4.36;46.13;2.71;0.18;9.1;-1.19;46.41;55.58;-150335.24
01/08/2022;5068741;2058843;3009898;3.84;1.71;5.3;1.72;3.61;7.26;5.26;46.84;2.78;0.18;8.9;-0.57;47.11;56.05;-120056.07
01/09/2022;5160236;2104721;3055514;3.64;1.39;5.2;1.73;3.59;7.42;5.22;46.1;2.83;0.18;8.7;0.02;47.01;56.03;-130801.87
01/10/2022;5211491;2100060;3111431;3.75;1.42;5.33;1.75;3.75;7.55;4.24;47.06;3;0.18;8.3;0.69;47.01;55.97;-157896.49
01/11/2022;5278400;2121812;3156588;3.88;1.65;5.38;1.76;3.79;7.7;4.24;46.72;3.04;0.14;8.1;0.57;46.8;55.81;-137807.3
01/12/2022;5358049;2170267;3187782;3.72;1.62;5.15;1.74;3.69;7.77;4.48;48.75;3.19;0.13;7.9;0.35;47.01;56.13;-125993.91
01/01/2023;5365320;2143696;3221624;4;1.98;5.34;1.87;3.74;7.86;4.67;49.79;3.41;0.17;8.4;0.8;46.34;55.21;-99012.7
01/02/2023;5364476;2128587;3235889;3.92;1.85;5.28;1.79;3.83;7.73;4.28;48.02;3.54;0.46;8.6;0.34;46.92;55.71;-72559.67
01/03/2023;5417326;2146398;3270928;4.02;1.83;5.45;1.8;3.85;7.72;4.22;52.12;3.56;0.52;8.8;0.74;47.17;55.98;-58377.19
01/04/2023;5419040;2136652;3282388;4;1.81;5.43;1.78;3.95;7.72;4.44;52.08;3.74;0.79;8.5;0.5;47.17;55.92;-78701.68
01/05/2023;5446513;2137582;3308931;4.01;1.78;5.44;1.78;3.92;7.66;4.64;52.99;3.91;0.92;8.3;0.08;47.73;56.59;-28529.41
01/06/2023;5472241;2161384;3310857;3.86;1.67;5.28;1.72;3.87;7.63;4.67;52.46;3.86;1.01;8;-0.1;49;57.78;20369.18
01/07/2023;5477495;2145357;3332138;3.84;1.66;5.24;1.74;3.83;7.42;4.65;53.09;3.92;1.13;7.9;0.07;49.57;58.34;56178.54
01/08/2023;5551565;2164354;3387211;3.81;1.64;5.19;1.71;3.8;7.08;5.1;53.02;3.96;1.23;7.8;-0.22;49.85;58.68;79008.62
01/09/2023;5616177;2204640;3411538;3.69;1.51;5.09;1.74;3.78;6.79;6.12;52.93;3.94;1.25;7.7;0.27;50.15;58.87;97079.67
01/10/2023;5644764;2195088;3449675;4.02;1.83;5.42;1.74;3.73;6.61;6.32;54.86;4.05;1.32;7.6;0.45;50.05;58.85;82281.19
01/11/2023;5702348;2211381;3490967;3.89;1.64;5.32;1.7;3.71;6.32;6.63;53.06;4.09;1.04;7.5;0.27;50.34;59.08;119550.92
01/12/2023;5794196;2271990;3522206;3.7;1.56;5.07;1.6;3.66;6.21;6.77;53.86;4.09;0.64;7.4;0.29;51.7;60.43;249123.72
01/01/2024;5784313;2223506;3560807;3.88;1.75;5.21;1.71;3.57;6.06;7.15;53.63;4.29;0.65;7.6;0.61;50.99;59.57;-102146.35
01/02/2024;5802794;2221893;3580901;3.86;1.74;5.18;1.64;3.59;5.91;7.12;52.42;4.31;0.68;7.8;0.55;51.85;60.36;-53454.58
01/03/2024;5899857;2285751;3614106;3.98;1.68;5.44;1.61;3.63;5.87;7.13;51.8;4.39;0.53;7.9;0.1;52.11;60.65;-54631.58
01/04/2024;5915624;2268846;3646778;3.98;1.78;5.35;1.62;3.6;5.91;6.86;53.06;4.41;0.53;7.5;0.42;52.04;60.62;-61319.75
01/05/2024;5951817;2277001;3674815;4.04;1.85;5.4;1.58;3.59;5.76;6.87;55.28;4.57;0.48;7.1;0.53;52.68;61.34;2575.22
01/06/2024;6041062;2336157;3704905;3.77;1.61;5.14;1.59;3.58;5.92;7.13;53.09;4.41;0.41;6.9;0.22;52.65;61.42;43448.49
01/07/2024;6065265;2321183;3744082;3.77;1.78;5.01;1.61;3.56;6.03;7.43;54.78;4.47;0.23;6.8;0.54;52.48;61.1;64796.81
01/08/2024;6129074;2343924;3785150;3.79;1.65;5.11;1.6;3.55;5.94;7.41;55.39;4.47;0.23;6.6;-0.16;52.71;61.33;86221.84
